Week,Average Page Visits per Day
2018-03-14,4027.285714285714
2018-03-21,3791.8571428571427
2018-03-28,3425.5714285714284
2018-04-04,3232.0
2018-04-11,3206.714285714286
2018-04-18,3102.0
2018-04-25,2860.285714285714
2018-05-02,2721.285714285714
2018-05-09,2595.285714285714
2018-05-16,2630.4285714285716
2018-05-23,2552.0
2018-05-30,2507.5714285714284
2018-06-06,2423.285714285714
2018-06-13,2300.1428571428573
2018-06-20,2218.5714285714284
2018-06-27,2135.8571428571427
2018-07-04,2056.4285714285716
2018-07-11,2096.0
2018-07-18,2201.714285714286
2018-07-25,2100.8571428571427
2018-08-01,2020.0
2018-08-08,1889.4285714285713
2018-08-15,1933.4285714285713
2018-08-22,1976.7142857142858
2018-08-29,2097.1428571428573
2018-09-05,2569.8571428571427
2018-09-12,2579.5714285714284
2018-09-19,2778.1428571428573
2018-09-26,2939.4285714285716
2018-10-03,3044.5714285714284
2018-10-10,3138.5714285714284
2018-10-17,3280.714285714286
2018-10-24,3259.4285714285716
2018-10-31,3165.4285714285716
2018-11-07,3252.4285714285716
2018-11-14,3438.1428571428573
2018-11-21,3698.4285714285716
2018-11-28,3397.1428571428573
2018-12-05,3342.5714285714284
2018-12-12,3232.1428571428573
2018-12-19,3042.8571428571427
2018-12-26,3457.5714285714284
2019-01-02,4360.571428571428
2019-01-09,4309.142857142857
2019-01-16,4254.0
2019-01-23,4569.142857142857
2019-01-30,4431.857142857143
2019-02-06,4497.142857142857
2019-02-13,3976.4285714285716
2019-02-20,3768.4285714285716
2019-02-27,3467.1428571428573
2019-03-06,3460.0
2019-03-13,3248.714285714286
2019-03-20,3026.8571428571427
2019-03-27,2999.8571428571427
2019-04-03,2969.714285714286
2019-04-10,2583.5714285714284
2019-04-17,2359.5714285714284
2019-04-24,2457.1428571428573
2019-05-01,2370.1428571428573
2019-05-08,2342.4285714285716
2019-05-15,2397.1428571428573
2019-05-22,2304.1428571428573
2019-05-29,2342.8571428571427
2019-06-05,2075.4285714285716
2019-06-12,2096.714285714286
2019-06-19,2069.8571428571427
2019-06-26,1897.2857142857142
2019-07-03,2145.1428571428573
2019-07-10,2064.8571428571427
2019-07-17,2046.857142857143
2019-07-24,1963.2857142857142
2019-07-31,1915.142857142857
2019-08-07,1845.2857142857142
2019-08-14,1813.857142857143
2019-08-21,1893.2857142857142
2019-08-28,2031.0
2019-09-04,2128.5714285714284
2019-09-11,2349.714285714286
2019-09-18,2628.0
2019-09-25,2674.8571428571427
2019-10-02,2900.0
2019-10-09,2952.1428571428573
2019-10-16,2944.4285714285716
2019-10-23,2911.8571428571427
2019-10-30,2999.0
2019-11-06,3492.285714285714
2019-11-13,3562.4285714285716
2019-11-20,3228.8571428571427
2019-11-27,3209.285714285714
2019-12-04,3590.4285714285716
2019-12-11,3641.714285714286
2019-12-18,3523.714285714286
2019-12-25,3620.5714285714284
2020-01-01,4332.142857142857
2020-01-08,5089.857142857143
2020-01-15,5227.571428571428
2020-01-22,16950.14285714286
2020-01-29,20894.0
2020-02-05,12702.142857142857
2020-02-12,9236.285714285714
2020-02-19,14227.142857142857
2020-02-26,29730.714285714286
2020-03-04,22845.285714285714
2020-03-11,40129.28571428572
2020-03-18,34096.0
2020-03-25,26377.571428571428
2020-04-01,19307.14285714286
2020-04-08,13634.0
2020-04-15,11325.42857142857
2020-04-22,10157.714285714286
2020-04-29,7964.571428571428
2020-05-06,6715.857142857143
2020-05-13,6419.714285714285
2020-05-20,4928.714285714285
2020-05-27,3789.4285714285716
2020-06-03,3114.4285714285716
2020-06-10,3039.1428571428573
2020-06-17,3301.0
2020-06-24,3562.5714285714284
2020-07-01,3394.8571428571427
2020-07-08,3489.0
2020-07-15,3614.5714285714284
2020-07-22,3349.8571428571427
2020-07-29,3179.5714285714284
2020-08-05,3073.285714285714
2020-08-12,2967.285714285714
2020-08-19,3028.8571428571427
2020-08-26,2946.8571428571427
2020-09-02,2834.8571428571427
2020-09-09,3179.8571428571427
2020-09-16,3525.4285714285716
2020-09-23,3743.714285714286
2020-09-30,3771.714285714286
2020-10-07,4209.0
2020-10-14,4083.5714285714284
2020-10-21,4214.0
2020-10-28,4262.0
2020-11-04,3507.8571428571427
2020-11-11,3816.0
2020-11-18,3948.1428571428573
2020-11-25,3564.4285714285716
2020-12-02,3961.285714285714
2020-12-09,3707.714285714286
2020-12-16,3831.4285714285716
2020-12-23,3437.285714285714
2020-12-30,3768.4285714285716
2021-01-06,3548.285714285714
2021-01-13,3311.8571428571427
2021-01-20,3189.285714285714
2021-01-27,2931.714285714286
2021-02-03,2797.4285714285716
2021-02-10,2675.5714285714284
2021-02-17,3020.714285714286
2021-02-24,3107.8571428571427
2021-03-03,2829.285714285714
2021-03-10,2726.285714285714
2021-03-17,2623.285714285714
2021-03-24,2621.4285714285716
2021-03-31,2542.4285714285716
2021-04-07,2614.5714285714284
2021-04-14,2915.5714285714284
2021-04-21,2931.8571428571427
2021-04-28,3029.285714285714
2021-05-05,2805.714285714286
2021-05-12,2644.714285714286
2021-05-19,2566.8571428571427
2021-05-26,2560.5714285714284
2021-06-02,2587.1428571428573
2021-06-09,1982.5714285714287
2021-06-16,1981.0
2021-06-23,1976.5714285714287
2021-06-30,2120.285714285714
2021-07-07,2212.1428571428573
2021-07-14,2310.1428571428573
2021-07-21,2397.0
2021-07-28,2695.1428571428573
2021-08-04,3020.8571428571427
2021-08-11,2839.0
2021-08-18,2875.4285714285716
2021-08-25,2743.8571428571427
2021-09-01,2708.8571428571427
2021-09-08,3126.5714285714284
2021-09-15,2826.8571428571427
2021-09-22,2578.714285714286
2021-09-29,2605.285714285714
2021-10-06,2510.0
2021-10-13,2436.0
2021-10-20,2423.1428571428573
2021-10-27,2417.285714285714
2021-11-03,2279.714285714286
2021-11-10,2310.714285714286
2021-11-17,2888.5714285714284
2021-11-24,3384.1428571428573
2021-12-01,3194.285714285714
2021-12-08,2978.4285714285716
2021-12-15,3698.714285714286
2021-12-22,3768.8571428571427
2021-12-29,4884.142857142857
2022-01-05,5254.142857142857
2022-01-12,3728.8571428571427
2022-01-19,3195.8571428571427
2022-01-26,2889.714285714286
2022-02-02,2554.714285714286
2022-02-09,2188.8571428571427
2022-02-16,2182.714285714286
2022-02-23,1763.2857142857142
2022-03-02,1715.5714285714287
2022-03-09,1792.7142857142858
2022-03-16,1850.2857142857142
2022-03-23,1898.4285714285713
2022-03-30,1826.142857142857
2022-04-06,1930.7142857142858
2022-04-13,1763.0
2022-04-20,1873.2857142857142
2022-04-27,1705.2857142857142
2022-05-04,1675.4285714285713
2022-05-11,1660.7142857142858
2022-05-18,1750.7142857142858
2022-05-25,1655.7142857142858
2022-06-01,1627.142857142857
2022-06-08,1515.857142857143
2022-06-15,1619.7142857142858
2022-06-22,1392.142857142857
2022-06-29,1506.0
2022-07-06,1494.142857142857
2022-07-13,1414.857142857143
2022-07-20,1400.0
2022-07-27,1316.7142857142858
2022-08-03,1399.0
2022-08-10,1484.5714285714287
2022-08-17,1366.0
2022-08-24,1314.4285714285713
2022-08-31,1431.4285714285713
2022-09-07,1482.2857142857142
2022-09-14,1792.0
2022-09-21,1684.857142857143
2022-09-28,1710.5714285714287
2022-10-05,1894.4285714285713
2022-10-12,1843.2857142857142
2022-10-19,1938.2857142857142
2022-10-26,1954.4285714285713
2022-11-02,1977.7142857142858
2022-11-09,2113.714285714286
2022-11-16,2148.1428571428573
2022-11-23,2387.1428571428573
2022-11-30,2603.8571428571427
2022-12-07,2694.4285714285716
2022-12-14,2640.714285714286
2022-12-21,2406.714285714286
2022-12-28,2358.1428571428573
2023-01-04,2227.714285714286
2023-01-11,2021.5714285714287
2023-01-18,1962.0
2023-01-25,1615.7142857142858
2023-02-01,1668.2857142857142
2023-02-08,1637.0
2023-02-15,1626.7142857142858
2023-02-22,1596.5714285714287
2023-03-01,1795.0
2023-03-08,2402.8571428571427
2023-03-15,1859.4285714285713
2023-03-22,1578.5714285714287
2023-03-29,1405.0
2023-04-05,1306.7142857142858
2023-04-12,1376.7142857142858
2023-04-19,1339.7142857142858
2023-04-26,1307.857142857143
2023-05-03,1438.2857142857142
2023-05-10,1349.4285714285713
2023-05-17,1434.0
2023-05-24,1343.4285714285713
2023-05-31,1372.4285714285713
2023-06-07,1309.5714285714287
2023-06-14,1363.142857142857
2023-06-21,1212.7142857142858
2023-06-28,1007.1428571428571
2023-07-05,1077.142857142857
2023-07-12,1010.1428571428571
2023-07-19,1115.2857142857142
2023-07-26,1071.142857142857
2023-08-02,1029.142857142857
2023-08-09,1011.8571428571429
2023-08-16,1057.5714285714287
2023-08-23,1122.0
2023-08-30,1077.4285714285713
2023-09-06,1196.7142857142858
2023-09-13,1279.7142857142858
2023-09-20,1394.5714285714287
2023-09-27,1353.7142857142858
2023-10-04,1355.857142857143
2023-10-11,1372.142857142857
2023-10-18,1381.857142857143
2023-10-25,1460.857142857143
2023-11-01,1575.2857142857142
2023-11-08,1683.4285714285713
2023-11-15,1596.0
2023-11-22,1898.857142857143
2023-11-29,1863.857142857143
