State,Influenza A virus (lag 0w),Flu (lag 0w),Influenza (lag 0w),Type A influenza (lag 0w),Influenza A virus (lag 1w),Flu (lag 1w),Influenza (lag 1w),Type A influenza (lag 1w),Influenza A virus (lag 2w),Flu (lag 2w),Influenza (lag 2w),Type A influenza (lag 2w),Influenza A virus (lag 3w),Flu (lag 3w),Influenza (lag 3w),Type A influenza (lag 3w),Avg_Correlation
Mississippi,0.556921373288984,0.029523783450716247,0.07745169287529688,0.09355702076089217,0.5768111149995071,0.07294711190179057,0.11937686179621299,0.14113222298499797,0.5826811531975769,0.11418983330573906,0.15992446985506148,0.15920029404508484,0.5832848082452677,0.164701004527054,0.21870618046635318,0.15563133353702968,0.2378775162023478
Michigan,0.5334734609374985,0.12058043766106102,0.15911332141763018,0.12470858659968496,0.4837118911624396,0.13911279933349155,0.1777411123248655,0.13078799486041232,0.4469756206643088,0.15814717910456338,0.1960946486357701,0.13197144288745205,0.4074193464746384,0.17075013530833552,0.2101651199097731,0.12831714426740054,0.23244189009683283
Arkansas,0.5489918613625837,0.06032478632419687,0.10861046394635382,0.0979591024718515,0.5236636386449685,0.08793086991939861,0.13912751927285594,0.1193653524965626,0.4935539391400996,0.12297547992258669,0.17404582889768036,0.11335156819395313,0.46110759831158754,0.16293167993188287,0.2187971334725068,0.12081506586832122,0.22209699301108685
Wyoming,0.6339246446404768,0.04745293970621255,0.10302475121839602,0.07231020297484927,0.6130126140036067,0.05959209407515145,0.11684115281180908,0.07674404012695801,0.5942750188565524,0.07325827988732422,0.13237744166662513,0.08480727580465222,0.5646197924601151,0.0836171503522275,0.15049902976086202,0.09386448520004063,0.2187638070966162
Iowa,0.5411538906082921,0.07696070782611339,0.1333289263127954,0.11895184559128553,0.506430016133965,0.09384698367258815,0.15021365124838393,0.13463580146040638,0.45695309841411264,0.10670469486290554,0.1675199740083776,0.13401794791211616,0.3996118395966276,0.12623970880801225,0.18563256111026177,0.1252215382460839,0.21608894911327045
Louisiana,0.5812811772382013,0.02497957480419688,0.07257732728104588,0.05942220544952035,0.5897229378948948,0.049864450569245766,0.09938686073202602,0.07619523177426682,0.5895363785884555,0.07483498530903784,0.12579658074641561,0.0903399322404035,0.5856249139955709,0.10459414830927198,0.1598648998642034,0.09285609340517426,0.21105485613762068
Massachusetts,0.58044382239267,0.060826901414746753,0.11736162693118822,0.06430124138253249,0.5406260388896014,0.07883094161263848,0.13590006571924695,0.07778369099955397,0.4944685375054389,0.09884019892228753,0.15950621389457187,0.0809525927725511,0.43701763677928396,0.11429478730482692,0.17727564646223123,0.07809247259288171,0.20603265097351572
Ohio,0.5790332999856208,0.024211584730424583,0.08104102502691633,0.06170991105548089,0.5684972444361471,0.05147545618729002,0.10811217633467377,0.08095345596256273,0.5419270245344154,0.08865558646088312,0.13962723053140638,0.0978077388143207,0.4982886367040391,0.1089095222526611,0.1640364734610119,0.09748948378456876,0.2057359906414014
Tennessee,0.5987732143645856,-0.005371033862029674,0.0468350555811599,0.07119808336985141,0.6016898606765139,0.024526117262019156,0.0753490570098193,0.09775314621306946,0.596701832408735,0.0476277044508472,0.09965681713571287,0.11324122918597988,0.57465869221407,0.07510076903351237,0.1287334505178334,0.11904530100752547,0.20409495603557534
Arizona,0.6166062789388622,0.02572011561104795,0.07512708599954775,0.0584812362516275,0.6188271884302348,0.031106254511710688,0.08196664449591783,0.07211951949117285,0.61950860813547,0.03493119586486264,0.09180123047012133,0.08737200062139544,0.6050375817708711,0.041686880334573746,0.10427767103850427,0.08009184821277959,0.20279133376116876
