Week,Average Page Visits per Day
2017-11-29,994.5714285714286
2017-12-06,1273.7142857142858
2017-12-13,1879.142857142857
2017-12-20,2470.4285714285716
2017-12-27,3029.8571428571427
2018-01-03,4021.4285714285716
2018-01-10,5213.0
2018-01-17,5201.285714285715
2018-01-24,5232.428571428572
2018-01-31,4813.0
2018-02-07,3939.285714285714
2018-02-14,3424.8571428571427
2018-02-21,2372.1428571428573
2018-02-28,1577.5714285714287
2018-03-07,1364.4285714285713
2018-03-14,1215.857142857143
2018-03-21,992.8571428571429
2018-03-28,930.8571428571429
2018-04-04,852.1428571428571
2018-04-11,759.7142857142857
2018-04-18,720.2857142857143
2018-04-25,642.2857142857143
2018-05-02,565.0
2018-05-09,524.7142857142857
2018-05-16,571.1428571428571
2018-05-23,542.0
2018-05-30,529.4285714285714
2018-06-06,497.14285714285717
2018-06-13,458.85714285714283
2018-06-20,393.0
2018-06-27,384.0
2018-07-04,411.2857142857143
2018-07-11,427.7142857142857
2018-07-18,494.7142857142857
2018-07-25,421.57142857142856
2018-08-01,402.42857142857144
2018-08-08,389.2857142857143
2018-08-15,383.57142857142856
2018-08-22,405.42857142857144
2018-08-29,410.7142857142857
2018-09-05,1228.5714285714287
2018-09-12,522.0
2018-09-19,596.2857142857143
2018-09-26,566.0
2018-10-03,590.1428571428571
2018-10-10,631.1428571428571
2018-10-17,661.4285714285714
2018-10-24,693.0
2018-10-31,716.7142857142857
2018-11-07,783.0
2018-11-14,863.2857142857143
2018-11-21,963.2857142857143
2018-11-28,958.8571428571429
2018-12-05,1127.857142857143
2018-12-12,1353.0
2018-12-19,1570.5714285714287
2018-12-26,1912.2857142857142
2019-01-02,2043.142857142857
2019-01-09,2140.714285714286
2019-01-16,2464.4285714285716
2019-01-23,2808.5714285714284
2019-01-30,3084.4285714285716
2019-02-06,3293.1428571428573
2019-02-13,3356.8571428571427
2019-02-20,3310.4285714285716
2019-02-27,3257.714285714286
2019-03-06,3591.4285714285716
2019-03-13,3403.5714285714284
2019-03-20,2737.8571428571427
2019-03-27,2039.0
2019-04-03,1609.5714285714287
2019-04-10,1235.7142857142858
2019-04-17,961.4285714285714
2019-04-24,833.1428571428571
2019-05-01,732.8571428571429
2019-05-08,733.5714285714286
2019-05-15,791.4285714285714
2019-05-22,821.1428571428571
2019-05-29,778.0
2019-06-05,787.5714285714286
2019-06-12,885.1428571428571
2019-06-19,820.4285714285714
2019-06-26,900.5714285714286
2019-07-03,926.0
2019-07-10,861.7142857142857
2019-07-17,838.0
2019-07-24,806.5714285714286
2019-07-31,776.1428571428571
2019-08-07,834.1428571428571
2019-08-14,736.2857142857143
2019-08-21,896.1428571428571
2019-08-28,753.2857142857143
2019-09-04,703.2857142857143
2019-09-11,691.8571428571429
2019-09-18,711.0
2019-09-25,699.4285714285714
2019-10-02,977.0
2019-10-09,740.8571428571429
2019-10-16,714.5714285714286
2019-10-23,753.2857142857143
2019-10-30,798.2857142857143
2019-11-06,944.7142857142857
2019-11-13,1120.7142857142858
2019-11-20,1251.2857142857142
2019-11-27,1354.0
2019-12-04,1587.0
2019-12-11,1926.7142857142858
2019-12-18,2358.4285714285716
2019-12-25,2634.0
2020-01-01,3113.0
2020-01-08,5177.285714285715
2020-01-15,4181.142857142857
2020-01-22,5946.571428571428
2020-01-29,6815.714285714285
2020-02-05,5622.857142857143
2020-02-12,4647.857142857143
2020-02-19,5037.0
2020-02-26,6776.571428571428
2020-03-04,6797.285714285715
2020-03-11,9570.142857142857
2020-03-18,7585.857142857143
2020-03-25,5404.428571428572
2020-04-01,3684.1428571428573
2020-04-08,2765.0
2020-04-15,2372.5714285714284
2020-04-22,1766.857142857143
2020-04-29,1400.857142857143
2020-05-06,1397.7142857142858
2020-05-13,1148.0
2020-05-20,880.4285714285714
2020-05-27,650.4285714285714
2020-06-03,543.1428571428571
2020-06-10,534.1428571428571
2020-06-17,528.2857142857143
2020-06-24,611.1428571428571
2020-07-01,552.0
2020-07-08,529.4285714285714
2020-07-15,577.7142857142857
2020-07-22,582.4285714285714
2020-07-29,487.57142857142856
2020-08-05,530.2857142857143
2020-08-12,499.57142857142856
2020-08-19,478.0
2020-08-26,464.85714285714283
2020-09-02,487.42857142857144
2020-09-09,500.57142857142856
2020-09-16,522.4285714285714
2020-09-23,572.2857142857143
2020-09-30,570.0
2020-10-07,652.8571428571429
2020-10-14,692.5714285714286
2020-10-21,711.4285714285714
2020-10-28,698.0
2020-11-04,686.8571428571429
2020-11-11,704.4285714285714
2020-11-18,687.7142857142857
2020-11-25,708.2857142857143
2020-12-02,682.0
2020-12-09,666.7142857142857
2020-12-16,705.7142857142857
2020-12-23,606.5714285714286
2020-12-30,696.7142857142857
2021-01-06,797.7142857142857
2021-01-13,717.2857142857143
2021-01-20,691.7142857142857
2021-01-27,640.0
2021-02-03,639.7142857142857
2021-02-10,574.4285714285714
2021-02-17,1060.2857142857142
2021-02-24,684.5714285714286
2021-03-03,647.2857142857143
2021-03-10,646.2857142857143
2021-03-17,617.1428571428571
2021-03-24,645.0
2021-03-31,602.1428571428571
2021-04-07,640.8571428571429
2021-04-14,636.7142857142857
2021-04-21,565.0
2021-04-28,570.4285714285714
2021-05-05,556.0
2021-05-12,505.85714285714283
2021-05-19,505.0
2021-05-26,739.1428571428571
2021-06-02,750.0
2021-06-09,447.14285714285717
2021-06-16,437.14285714285717
2021-06-23,438.42857142857144
2021-06-30,414.2857142857143
2021-07-07,446.14285714285717
2021-07-14,471.14285714285717
2021-07-21,485.42857142857144
2021-07-28,534.8571428571429
2021-08-04,564.0
2021-08-11,541.2857142857143
2021-08-18,517.5714285714286
2021-08-25,524.5714285714286
2021-09-01,515.7142857142857
2021-09-08,559.0
2021-09-15,469.85714285714283
2021-09-22,436.0
